BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,SALE PRICE
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,21754112.0
1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS           ,26582000.0
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,52740523.0
1,ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS             ,2593900.0
1,ALPHABET CITY,11A CONDO-RENTALS                           ,88683923.0
1,ALPHABET CITY,12 CONDOS - WALKUP APARTMENTS              ,620000.0
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,89216699.0
1,ALPHABET CITY,14 RENTALS - 4-10 UNIT                     ,15265000.0
1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,10059500.0
1,ALPHABET CITY,16 CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT ,4200000.0
1,ALPHABET CITY,17 CONDO COOPS                             ,5995000.0
1,ALPHABET CITY,22 STORE BUILDINGS                         ,3700000.0
1,ALPHABET CITY,37 RELIGIOUS FACILITIES                    ,0.0
1,ALPHABET CITY,42 CONDO CULTURAL/MEDICAL/EDUCATIONAL/ETC  ,0.0
1,ALPHABET CITY,46 CONDO STORE BUILDINGS                   ,63425000.0
1,ALPHABET CITY,47 CONDO NON-BUSINESS STORAGE              ,0.0
1,CHELSEA,01 ONE FAMILY DWELLINGS                    ,7425030.0
1,CHELSEA,02 TWO FAMILY DWELLINGS                    ,7750000.0
1,CHELSEA,03 THREE FAMILY DWELLINGS                  ,8300000.0
1,CHELSEA,04 TAX CLASS 1 CONDOS                      ,2850000.0
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,104641000.0
1,CHELSEA,08 RENTALS - ELEVATOR APARTMENTS           ,6941975.0
1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,72727752.0
1,CHELSEA,10 COOPS - ELEVATOR APARTMENTS             ,142351075.0
1,CHELSEA,12 CONDOS - WALKUP APARTMENTS              ,1976000.0
1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,1114575905.0
1,CHELSEA,14 RENTALS - 4-10 UNIT                     ,18831828.0
1,CHELSEA,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,52094072.0
1,CHELSEA,16 CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT ,2060500.0
1,CHELSEA,17 CONDO COOPS                             ,98683837.0
1,CHELSEA,21 OFFICE BUILDINGS                        ,219850000.0
1,CHELSEA,22 STORE BUILDINGS                         ,157418181.0
1,CHELSEA,23 LOFT BUILDINGS                          ,52674156.0
1,CHELSEA,25 LUXURY HOTELS                           ,139725000.0
1,CHELSEA,26 OTHER HOTELS                            ,96307576.0
1,CHELSEA,28 COMMERCIAL CONDOS                       ,0.0
1,CHELSEA,29 COMMERCIAL GARAGES                      ,68208750.0
1,CHELSEA,35 INDOOR PUBLIC AND CULTURAL FACILITIES   ,0.0
1,CHELSEA,37 RELIGIOUS FACILITIES                    ,50350000.0
1,CHELSEA,38 ASYLUMS AND HOMES                       ,7995000.0
1,CHELSEA,43 CONDO OFFICE BUILDINGS                  ,21924400.0
1,CHELSEA,44 CONDO PARKING                           ,637500.0
1,CHELSEA,46 CONDO STORE BUILDINGS                   ,19100000.0
1,CHELSEA,47 CONDO NON-BUSINESS STORAGE              ,0.0
1,CHELSEA,48 CONDO TERRACES/GARDENS/CABANAS          ,0.0
1,CHINATOWN,07 RENTALS - WALKUP APARTMENTS             ,12525000.0
1,CHINATOWN,10 COOPS - ELEVATOR APARTMENTS             ,0.0
1,CHINATOWN,13 CONDOS - ELEVATOR APARTMENTS            ,54882942.0
1,CHINATOWN,14 RENTALS - 4-10 UNIT                     ,10.0
1,CHINATOWN,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,0.0
1,CHINATOWN,21 OFFICE BUILDINGS                        ,28375000.0
1,CHINATOWN,22 STORE BUILDINGS                         ,16830000.0
1,CHINATOWN,23 LOFT BUILDINGS                          ,15500000.0
1,CHINATOWN,28 COMMERCIAL CONDOS                       ,5238821.0
1,CHINATOWN,29 COMMERCIAL GARAGES                      ,93000.0
1,CHINATOWN,43 CONDO OFFICE BUILDINGS                  ,26826061.0
1,CHINATOWN,46 CONDO STORE BUILDINGS                   ,23550000.0
1,CHINATOWN,47 CONDO NON-BUSINESS STORAGE              ,0.0
1,CIVIC CENTER,07 RENTALS - WALKUP APARTMENTS             ,141500000.0
1,CIVIC CENTER,08 RENTALS - ELEVATOR APARTMENTS           ,36250000.0
1,CIVIC CENTER,10 COOPS - ELEVATOR APARTMENTS             ,21188400.0
1,CIVIC CENTER,11A CONDO-RENTALS                           ,0.0
1,CIVIC CENTER,13 CONDOS - ELEVATOR APARTMENTS            ,1688456677.0
1,CIVIC CENTER,14 RENTALS - 4-10 UNIT                     ,10725000.0
1,CIVIC CENTER,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,35036437.0
1,CIVIC CENTER,16 CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT ,25031370.0
1,CIVIC CENTER,17 CONDO COOPS                             ,6545000.0
1,CIVIC CENTER,21 OFFICE BUILDINGS                        ,21000000.0
1,CIVIC CENTER,22 STORE BUILDINGS                         ,25000000.0
1,CIVIC CENTER,23 LOFT BUILDINGS                          ,11500000.0
1,CIVIC CENTER,31 COMMERCIAL VACANT LAND                  ,0.0
1,CIVIC CENTER,43 CONDO OFFICE BUILDINGS                  ,975000.0
1,CIVIC CENTER,44 CONDO PARKING                           ,202560.0
1,CIVIC CENTER,46 CONDO STORE BUILDINGS                   ,1129750.0
1,CIVIC CENTER,47 CONDO NON-BUSINESS STORAGE              ,432756.0
1,CLINTON,07 RENTALS - WALKUP APARTMENTS             ,45435030.0
1,CLINTON,08 RENTALS - ELEVATOR APARTMENTS           ,15093194.0
1,CLINTON,09 COOPS - WALKUP APARTMENTS               ,16278680.0
1,CLINTON,10 COOPS - ELEVATOR APARTMENTS             ,20701565.0
1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,306630583.0
1,CLINTON,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,1737060.0
1,CLINTON,17 CONDO COOPS                             ,2790000.0
1,CLINTON,21 OFFICE BUILDINGS                        ,0.0
1,CLINTON,28 COMMERCIAL CONDOS                       ,67734101.0
1,CLINTON,29 COMMERCIAL GARAGES                      ,40000000.0
1,CLINTON,31 COMMERCIAL VACANT LAND                  ,23000000.0
1,CLINTON,32 HOSPITAL AND HEALTH FACILITIES          ,0.0
1,CLINTON,37 RELIGIOUS FACILITIES                    ,8010000.0
1,CLINTON,41 TAX CLASS 4 - OTHER                     ,4700000.0
1,CLINTON,44 CONDO PARKING                           ,0.0
1,CLINTON,46 CONDO STORE BUILDINGS                   ,3328500.0
1,CLINTON,47 CONDO NON-BUSINESS STORAGE              ,0.0
1,EAST VILLAGE,02 TWO FAMILY DWELLINGS                    ,13800000.0
1,EAST VILLAGE,07 RENTALS - WALKUP APARTMENTS             ,67867404.0
1,EAST VILLAGE,08 RENTALS - ELEVATOR APARTMENTS           ,30449204.0
1,EAST VILLAGE,09 COOPS - WALKUP APARTMENTS               ,24028891.0
1,EAST VILLAGE,10 COOPS - ELEVATOR APARTMENTS             ,26575440.0
1,EAST VILLAGE,11A CONDO-RENTALS                           ,57000000.0
1,EAST VILLAGE,12 CONDOS - WALKUP APARTMENTS              ,1650000.0
1,EAST VILLAGE,13 CONDOS - ELEVATOR APARTMENTS            ,50536804.0
1,EAST VILLAGE,14 RENTALS - 4-10 UNIT                     ,5825000.0
1,EAST VILLAGE,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,44499338.0
1,EAST VILLAGE,16 CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT ,20302500.0
1,EAST VILLAGE,17 CONDO COOPS                             ,12318000.0
1,EAST VILLAGE,22 STORE BUILDINGS                         ,13650000.0
